2026-09-19T20:42:47.690 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.691 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.691 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.692 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.692 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.693 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.693 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.694 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.694 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.694 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.695 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.695 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.696 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.696 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.697 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.697 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.697 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.697 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.698 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.698 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.698 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.698 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.698 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.698 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.698 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.699 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.699 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.699 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.699 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.699 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.699 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.699 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.700 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.701 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.701 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.701 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.702 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.702 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.702 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.703 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.703 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.704 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.705 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.705 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.706 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.706 4 T3=109.1 | E2E=112.8ms
